documentId,userId,primaryArchetype,secondaryPreferences,visibility,completedAt,question_1_id,question_1_text,question_1_answerType,question_1_answer,question_2_id,question_2_text,question_2_answerType,question_2_answer,question_3_id,question_3_text,question_3_answerType,question_3_answer,question_4_id,question_4_text,question_4_answerType,question_4_answer,question_5_id,question_5_text,question_5_answerType,question_5_answer,question_6_id,question_6_text,question_6_answerType,question_6_answer,question_7_id,question_7_text,question_7_answerType,question_7_answer,question_8_id,question_8_text,question_8_answerType,question_8_answer,question_9_id,question_9_text,question_9_answerType,question_9_answer,question_10_id,question_10_text,question_10_answerType,question_10_answer,question_11_id,question_11_text,question_11_answerType,question_11_answer,question_12_id,question_12_text,question_12_answerType,question_12_answer
MRv1bzF8ET6IK0q99m7t,user-1,Lightning,Fire | Moon,team,2026-01-29T16:18:53.688Z,11,Who do you most want to hear appreciation from?,archetype,Water,6,What matters most to you about appreciation?,archetype,Moon,9,What type of rewards do you value most?,archetype,Lightning,4,How often would you like to receive appreciation?,archetype,Fire,3,"When someone appreciates your work, you prefer:",archetype,Lightning,2,What makes you feel most appreciated?,archetype,Water,1,How do you prefer to receive recognition?,archetype,Lightning,12,"A meaningful ""thank you"" for me includes:",archetype,Fire,8,The ideal timing for recognition is:,archetype,Moon,5,The best recognition I ever received was:,archetype,Wind,7,"When celebrating a team success, you prefer:",archetype,Water,10,When you achieve something significant:,archetype,Fire
MTODBjUtxwyFMoUdryLg,user-1,Water,Fire | Moon,team,2026-01-29T16:42:10.494Z,11,Who do you most want to hear appreciation from?,archetype,Water,4,How often would you like to receive appreciation?,archetype,Water,1,How do you prefer to receive recognition?,archetype,Water,9,What type of rewards do you value most?,archetype,Lightning,7,"When celebrating a team success, you prefer:",archetype,Lightning,10,When you achieve something significant:,archetype,Water,6,What matters most to you about appreciation?,archetype,Lightning,12,"A meaningful ""thank you"" for me includes:",archetype,Wind,8,The ideal timing for recognition is:,archetype,Fire,3,"When someone appreciates your work, you prefer:",archetype,Moon,5,The best recognition I ever received was:,archetype,Wind,2,What makes you feel most appreciated?,archetype,Moon
NmP3uzkOTcp17GetQ5dS,user-1,Water,Fire | Wind,team,2026-01-29T17:08:34.537Z,8,The ideal timing for recognition is:,archetype,Wind,2,What makes you feel most appreciated?,archetype,Lightning,11,Who do you most want to hear appreciation from?,archetype,Water,1,How do you prefer to receive recognition?,archetype,Lightning,6,What matters most to you about appreciation?,archetype,Lightning,7,"When celebrating a team success, you prefer:",archetype,Wind,10,When you achieve something significant:,archetype,Wind,4,How often would you like to receive appreciation?,archetype,Fire,3,"When someone appreciates your work, you prefer:",archetype,Water,9,What type of rewards do you value most?,archetype,Water,5,The best recognition I ever received was:,archetype,Water,12,"A meaningful ""thank you"" for me includes:",archetype,Wind
RszA6P05nX2O4Jg2UKDH,user-1,Lightning,Fire | Wind,team,2026-01-29T17:34:02.438Z,1,How do you prefer to receive recognition?,archetype,Fire,11,Who do you most want to hear appreciation from?,archetype,Fire,12,"A meaningful ""thank you"" for me includes:",archetype,Fire,5,The best recognition I ever received was:,archetype,Lightning,8,The ideal timing for recognition is:,archetype,Water,3,"When someone appreciates your work, you prefer:",archetype,Lightning,4,How often would you like to receive appreciation?,archetype,Water,2,What makes you feel most appreciated?,archetype,Lightning,9,What type of rewards do you value most?,archetype,Lightning,10,When you achieve something significant:,archetype,Wind,6,What matters most to you about appreciation?,archetype,Wind,7,"When celebrating a team success, you prefer:",archetype,Fire
UpQLF74in5xPE1iWBKQB,user-1,Fire,Wind | Water,team,2026-01-29T16:57:35.541Z,5,The best recognition I ever received was:,archetype,Fire,1,How do you prefer to receive recognition?,archetype,Fire,9,What type of rewards do you value most?,archetype,Fire,11,Who do you most want to hear appreciation from?,archetype,Fire,10,When you achieve something significant:,archetype,Water,12,"A meaningful ""thank you"" for me includes:",archetype,Lightning,2,What makes you feel most appreciated?,archetype,Water,4,How often would you like to receive appreciation?,archetype,Wind,3,"When someone appreciates your work, you prefer:",archetype,Fire,6,What matters most to you about appreciation?,archetype,Lightning,7,"When celebrating a team success, you prefer:",archetype,Wind,8,The ideal timing for recognition is:,archetype,Lightning
Vy93da77w5ESLXvwaeaY,user-1,Fire,Moon | Wind,team,2026-01-29T17:08:42.511Z,6,What matters most to you about appreciation?,archetype,Lightning,5,The best recognition I ever received was:,archetype,Wind,12,"A meaningful ""thank you"" for me includes:",archetype,Fire,10,When you achieve something significant:,archetype,Fire,4,How often would you like to receive appreciation?,archetype,Fire,1,How do you prefer to receive recognition?,archetype,Lightning,8,The ideal timing for recognition is:,archetype,Lightning,9,What type of rewards do you value most?,archetype,Fire,3,"When someone appreciates your work, you prefer:",archetype,Fire,11,Who do you most want to hear appreciation from?,archetype,Wind,7,"When celebrating a team success, you prefer:",archetype,Moon,2,What makes you feel most appreciated?,archetype,Fire
W3Bn8O31KCktt1Bxbs3M,user-1,Lightning,Fire | Moon,team,2026-01-29T17:34:17.826Z,11,Who do you most want to hear appreciation from?,archetype,Wind,9,What type of rewards do you value most?,archetype,Lightning,6,What matters most to you about appreciation?,archetype,Lightning,7,"When celebrating a team success, you prefer:",archetype,Wind,12,"A meaningful ""thank you"" for me includes:",archetype,Lightning,10,When you achieve something significant:,archetype,Lightning,1,How do you prefer to receive recognition?,archetype,Fire,8,The ideal timing for recognition is:,archetype,Moon,3,"When someone appreciates your work, you prefer:",archetype,Water,2,What makes you feel most appreciated?,archetype,Lightning,5,The best recognition I ever received was:,archetype,Lightning,4,How often would you like to receive appreciation?,archetype,Wind
Znth2Bl6TKt9fLuDR6F7,user-1,Wind,Fire | Moon,team,2026-01-29T17:55:56.328Z,2,What makes you feel most appreciated?,archetype,Lightning,11,Who do you most want to hear appreciation from?,archetype,Wind,3,"When someone appreciates your work, you prefer:",archetype,Wind,5,The best recognition I ever received was:,archetype,Water,1,How do you prefer to receive recognition?,archetype,Lightning,12,"A meaningful ""thank you"" for me includes:",archetype,Lightning,7,"When celebrating a team success, you prefer:",archetype,Wind,10,When you achieve something significant:,archetype,Fire,6,What matters most to you about appreciation?,archetype,Wind,4,How often would you like to receive appreciation?,archetype,Moon,9,What type of rewards do you value most?,archetype,Moon,8,The ideal timing for recognition is:,archetype,Wind
aaa7CDcWIBxeoLgJNZPv,user-1,Wind,Moon | Water,team,2026-01-29T17:54:16.448Z,9,What type of rewards do you value most?,archetype,Moon,8,The ideal timing for recognition is:,archetype,Wind,12,"A meaningful ""thank you"" for me includes:",archetype,Wind,7,"When celebrating a team success, you prefer:",archetype,Moon,1,How do you prefer to receive recognition?,archetype,Moon,4,How often would you like to receive appreciation?,archetype,Moon,10,When you achieve something significant:,archetype,Moon,5,The best recognition I ever received was:,archetype,Wind,3,"When someone appreciates your work, you prefer:",archetype,Wind,6,What matters most to you about appreciation?,archetype,Water,2,What makes you feel most appreciated?,archetype,Wind,11,Who do you most want to hear appreciation from?,archetype,Wind
dXJTpESa9inRHcW9ZWMq,user-1,Lightning,Fire | Moon,team,2026-01-29T17:19:33.853Z,12,"A meaningful ""thank you"" for me includes:",archetype,Wind,6,What matters most to you about appreciation?,archetype,Lightning,10,When you achieve something significant:,archetype,Lightning,8,The ideal timing for recognition is:,archetype,Lightning,1,How do you prefer to receive recognition?,archetype,Water,11,Who do you most want to hear appreciation from?,archetype,Lightning,3,"When someone appreciates your work, you prefer:",archetype,Lightning,9,What type of rewards do you value most?,archetype,Moon,2,What makes you feel most appreciated?,skipped,Skipped,7,"When celebrating a team success, you prefer:",archetype,Fire,5,The best recognition I ever received was:,archetype,Fire,4,How often would you like to receive appreciation?,archetype,Water
g2JAu2LHPca2tAFpvMX4,user-1,Lightning,,team,2026-01-29T18:17:28.841Z,4,How often would you like to receive appreciation?,skipped,Skipped,2,What makes you feel most appreciated?,open-ended,Nine,12,"A meaningful ""thank you"" for me includes:",skipped,Skipped,7,"When celebrating a team success, you prefer:",skipped,Skipped,3,"When someone appreciates your work, you prefer:",skipped,Skipped,6,What matters most to you about appreciation?,skipped,Skipped,1,How do you prefer to receive recognition?,skipped,Skipped,5,The best recognition I ever received was:,skipped,Skipped,8,The ideal timing for recognition is:,skipped,Skipped,10,When you achieve something significant:,skipped,Skipped,11,Who do you most want to hear appreciation from?,skipped,Skipped,9,What type of rewards do you value most?,skipped,Skipped
gXTyL98rmd2EEBi42FtP,user-1,Water,Fire | Moon,team,2026-01-29T17:08:13.777Z,2,What makes you feel most appreciated?,archetype,Fire,3,"When someone appreciates your work, you prefer:",archetype,Water,9,What type of rewards do you value most?,archetype,Wind,5,The best recognition I ever received was:,archetype,Water,12,"A meaningful ""thank you"" for me includes:",archetype,Fire,10,When you achieve something significant:,archetype,Lightning,1,How do you prefer to receive recognition?,archetype,Water,8,The ideal timing for recognition is:,archetype,Wind,7,"When celebrating a team success, you prefer:",archetype,Moon,6,What matters most to you about appreciation?,archetype,Water,11,Who do you most want to hear appreciation from?,archetype,Fire,4,How often would you like to receive appreciation?,archetype,Fire
hfeTLNvQDDJ07QAxfPjl,user-1,Lightning,,team,2026-01-29T18:34:28.322Z,1,How do you prefer to receive recognition?,open-ended,I don’t care how,7,"When celebrating a team success, you prefer:",open-ended,Food,8,The ideal timing for recognition is:,open-ended,Doesn’t matter when,6,What matters most to you about appreciation?,open-ended,good feeling,9,What type of rewards do you value most?,open-ended,food,3,"When someone appreciates your work, you prefer:",open-ended,food,11,Who do you most want to hear appreciation from?,open-ended,‘,2,What makes you feel most appreciated?,open-ended,a hug,5,The best recognition I ever received was:,open-ended,food,12,"A meaningful ""thank you"" for me includes:",open-ended,food,4,How often would you like to receive appreciation?,open-ended,"breakfast, lunch, dinner",10,When you achieve something significant:,open-ended,i want to eat
kQJSqu0L2GypicbEEjVy,user-1,Lightning,Fire | Moon,team,2026-01-29T18:41:51.132Z,2,What makes you feel most appreciated?,archetype,Moon,5,The best recognition I ever received was:,archetype,Lightning,1,How do you prefer to receive recognition?,archetype,Lightning,8,The ideal timing for recognition is:,archetype,Fire,9,What type of rewards do you value most?,archetype,Fire,10,When you achieve something significant:,archetype,Lightning,11,Who do you most want to hear appreciation from?,archetype,Lightning,7,"When celebrating a team success, you prefer:",archetype,Moon,6,What matters most to you about appreciation?,archetype,Lightning,4,How often would you like to receive appreciation?,archetype,Water,12,"A meaningful ""thank you"" for me includes:",archetype,Water,3,"When someone appreciates your work, you prefer:",archetype,Lightning
nTbQ67G8tHC3Oexgg84q,user-1,Lightning,Fire | Moon,team,2026-01-29T18:13:36.985Z,1,How do you prefer to receive recognition?,archetype,Fire,8,The ideal timing for recognition is:,archetype,Water,9,What type of rewards do you value most?,archetype,Moon,5,The best recognition I ever received was:,archetype,Lightning,12,"A meaningful ""thank you"" for me includes:",archetype,Lightning,4,How often would you like to receive appreciation?,archetype,Water,11,Who do you most want to hear appreciation from?,archetype,Lightning,3,"When someone appreciates your work, you prefer:",archetype,Lightning,2,What makes you feel most appreciated?,archetype,Lightning,7,"When celebrating a team success, you prefer:",archetype,Moon,6,What matters most to you about appreciation?,archetype,Lightning,10,When you achieve something significant:,archetype,Lightning
nccgKfw4kyLv8CQpfxrs,user-1,Lightning,Fire | Moon,team,2026-01-29T17:08:52.540Z,12,"A meaningful ""thank you"" for me includes:",archetype,Water,2,What makes you feel most appreciated?,archetype,Moon,5,The best recognition I ever received was:,archetype,Water,4,How often would you like to receive appreciation?,archetype,Lightning,6,What matters most to you about appreciation?,archetype,Moon,7,"When celebrating a team success, you prefer:",archetype,Wind,3,"When someone appreciates your work, you prefer:",archetype,Wind,10,When you achieve something significant:,archetype,Lightning,1,How do you prefer to receive recognition?,archetype,Lightning,9,What type of rewards do you value most?,archetype,Wind,8,The ideal timing for recognition is:,archetype,Fire,11,Who do you most want to hear appreciation from?,archetype,Lightning
rsNgoXosqjjCnTHFkNTq,user-1,Lightning,Fire | Moon,team,2026-01-29T18:14:42.073Z,2,What makes you feel most appreciated?,archetype,Fire,1,How do you prefer to receive recognition?,archetype,Fire,10,When you achieve something significant:,archetype,Lightning,4,How often would you like to receive appreciation?,archetype,Moon,12,"A meaningful ""thank you"" for me includes:",archetype,Lightning,7,"When celebrating a team success, you prefer:",archetype,Moon,11,Who do you most want to hear appreciation from?,archetype,Lightning,9,What type of rewards do you value most?,archetype,Fire,8,The ideal timing for recognition is:,archetype,Lightning,5,The best recognition I ever received was:,archetype,Fire,3,"When someone appreciates your work, you prefer:",archetype,Lightning,6,What matters most to you about appreciation?,archetype,Fire
s8Lc8nkgPmadu079umhG,user-1,Lightning,,team,2026-01-29T16:15:37.270Z,11,Who do you most want to hear appreciation from?,skipped,Skipped,8,The ideal timing for recognition is:,skipped,Skipped,9,What type of rewards do you value most?,skipped,Skipped,2,What makes you feel most appreciated?,skipped,Skipped,12,"A meaningful ""thank you"" for me includes:",skipped,Skipped,3,"When someone appreciates your work, you prefer:",skipped,Skipped,1,How do you prefer to receive recognition?,skipped,Skipped,5,The best recognition I ever received was:,skipped,Skipped,10,When you achieve something significant:,skipped,Skipped,4,How often would you like to receive appreciation?,skipped,Skipped,7,"When celebrating a team success, you prefer:",skipped,Skipped,6,What matters most to you about appreciation?,skipped,Skipped
sx04E6pAmRfUsUUaCapP,user-1,Moon,Water | Lightning,team,2026-01-29T16:42:37.611Z,1,How do you prefer to receive recognition?,archetype,Lightning,7,"When celebrating a team success, you prefer:",archetype,Water,6,What matters most to you about appreciation?,archetype,Water,10,When you achieve something significant:,archetype,Lightning,3,"When someone appreciates your work, you prefer:",archetype,Moon,2,What makes you feel most appreciated?,archetype,Lightning,4,How often would you like to receive appreciation?,archetype,Moon,5,The best recognition I ever received was:,archetype,Moon,12,"A meaningful ""thank you"" for me includes:",archetype,Moon,8,The ideal timing for recognition is:,archetype,Water,9,What type of rewards do you value most?,archetype,Lightning,11,Who do you most want to hear appreciation from?,archetype,Moon
